,Tank,Temperature,Stick,Position,Population,Species,Genotype,Frag.rep,Frag.id,Timepoint,Survival,Bleaching_D,TissueArea_cm2,PAM
1,1,Ambient,1,3,Parke,Goniastrea retiformis,Gon.Par.7,1,Gon.Par.7.1,3,1,6,3.095,NA
2,1,Ambient,1,7,Jewell,Goniastrea retiformis,Gon.Jew.8,1,Gon.Jew.8.1,3,1,6,2.882,NA
3,1,Ambient,1,10,Parke,Goniastrea retiformis,Gon.Par.6,1,Gon.Par.6.1,3,1,6,3.938,NA
4,1,Ambient,3,3,Switzer,Goniastrea retiformis,Gon.Swi.6,1,Gon.Swi.6.1,3,1,6,1.89,NA
5,1,Ambient,3,8,Parke,Goniastrea retiformis,Gon.Par.6,2,Gon.Par.6.2,3,1,6,2.125,NA
6,1,Ambient,3,10,Parke,Goniastrea retiformis,Gon.Par.8,1,Gon.Par.8.1,3,1,6,2.218,NA
7,1,Ambient,4,2,Switzer,Goniastrea retiformis,Gon.Swi.5,1,Gon.Swi.5.1,3,1,6,2.664,NA
8,1,Ambient,4,3,Jewell,Goniastrea retiformis,Gon.Jew.11,1,Gon.Jew.11.1,3,1,6,2.185,NA
9,1,Ambient,4,5,Parke,Goniastrea retiformis,Gon.Par.3,2,Gon.Par.3.2,3,1,6,3.569,NA
10,1,Ambient,4,6,Parke,Goniastrea retiformis,Gon.Par.8,2,Gon.Par.8.2,3,1,6,2.216,NA
11,1,Ambient,4,7,Switzer,Goniastrea retiformis,Gon.Swi.6,2,Gon.Swi.6.2,3,1,6,2.914,NA
12,1,Ambient,4,10,Jewell,Goniastrea retiformis,Gon.Jew.6,1,Gon.Jew.6.1,3,1,6,2.44,NA
13,1,Ambient,4,11,Switzer,Goniastrea retiformis,Gon.Swi.10,1,Gon.Swi.10.1,3,1,6,2.989,NA
14,1,Ambient,5,1,Switzer,Goniastrea retiformis,Gon.Swi.7,2,Gon.Swi.7.2,3,1,6,3.519,NA
15,1,Ambient,5,3,Parke,Goniastrea retiformis,Gon.Par.8,3,Gon.Par.8.3,3,1,6,2.503,NA
16,1,Ambient,5,5,Switzer,Goniastrea retiformis,Gon.Swi.11,2,Gon.Swi.11.2,3,1,6,2.416,NA
17,1,Ambient,5,7,Parke,Goniastrea retiformis,Gon.Par.8,4,Gon.Par.8.4,3,1,6,2.553,NA
18,1,Ambient,5,8,Parke,Goniastrea retiformis,Gon.Par.7,2,Gon.Par.7.2,3,1,6,3.824,NA
19,1,Ambient,6,5,Jewell,Goniastrea retiformis,Gon.Jew.10,1,Gon.Jew.10.1,3,1,5,3.289,NA
20,1,Ambient,6,7,Parke,Goniastrea retiformis,Gon.Par.2,1,Gon.Par.2.1,3,1,6,3.22,NA
21,1,Ambient,6,9,Jewell,Goniastrea retiformis,Gon.Jew.10,2,Gon.Jew.10.2,3,1,5,3.463,NA
22,1,Ambient,6,11,Jewell,Goniastrea retiformis,Gon.Jew.7,1,Gon.Jew.7.1,3,1,6,3.599,NA
23,2,Ambient,1,3,Parke,Goniastrea retiformis,Gon.Par.3,3,Gon.Par.3.3,3,1,6,5.169,NA
24,2,Ambient,1,4,Switzer,Goniastrea retiformis,Gon.Swi.7,3,Gon.Swi.7.3,3,1,6,4.429,NA
25,2,Ambient,1,7,Parke,Goniastrea retiformis,Gon.Par.6,3,Gon.Par.6.3,3,1,6,3.684,NA
26,2,Ambient,1,9,Switzer,Goniastrea retiformis,Gon.Swi.11,3,Gon.Swi.11.3,3,1,4,2.958,NA
27,2,Ambient,1,10,Jewell,Goniastrea retiformis,Gon.Jew.10,3,Gon.Jew.10.3,3,1,4,4.289,NA
28,2,Ambient,2,1,Switzer,Goniastrea retiformis,Gon.Swi.7,4,Gon.Swi.7.4,3,1,6,3.341,NA
29,2,Ambient,2,2,Jewell,Goniastrea retiformis,Gon.Jew.8,2,Gon.Jew.8.2,3,1,6,1.845,NA
30,2,Ambient,2,3,Parke,Goniastrea retiformis,Gon.Par.7,3,Gon.Par.7.3,3,1,6,4.193,NA
31,2,Ambient,3,2,Switzer,Goniastrea retiformis,Gon.Swi.6,3,Gon.Swi.6.3,3,1,6,1.777,NA
32,2,Ambient,3,5,Jewell,Goniastrea retiformis,Gon.Jew.11,2,Gon.Jew.11.2,3,1,6,3.027,NA
33,2,Ambient,3,7,Jewell,Goniastrea retiformis,Gon.Jew.6,2,Gon.Jew.6.2,3,1,6,2.595,NA
34,2,Ambient,3,8,Jewell,Goniastrea retiformis,Gon.Jew.10,4,Gon.Jew.10.4,3,1,5,2.217,NA
35,2,Ambient,3,11,Parke,Goniastrea retiformis,Gon.Par.2,2,Gon.Par.2.2,3,1,5,3.8,NA
36,2,Ambient,4,2,Parke,Goniastrea retiformis,Gon.Par.3,4,Gon.Par.3.4,3,1,6,2.822,NA
37,2,Ambient,4,4,Switzer,Goniastrea retiformis,Gon.Swi.12,2,Gon.Swi.12.2,3,1,6,3.149,NA
38,2,Ambient,4,10,Switzer,Goniastrea retiformis,Gon.Swi.10,2,Gon.Swi.10.2,3,1,6,2.379,NA
39,2,Ambient,6,4,Switzer,Goniastrea retiformis,Gon.Swi.5,2,Gon.Swi.5.2,3,1,6,2.157,NA
40,2,Ambient,6,6,Parke,Goniastrea retiformis,Gon.Par.7,4,Gon.Par.7.4,3,1,6,3.378,NA
41,2,Ambient,6,8,Jewell,Goniastrea retiformis,Gon.Jew.11,3,Gon.Jew.11.3,3,1,6,2.722,NA
42,2,Ambient,6,11,Switzer,Goniastrea retiformis,Gon.Swi.6,4,Gon.Swi.6.4,3,1,5,2.668,NA
43,3,Ambient,1,3,Jewell,Goniastrea retiformis,Gon.Jew.7,3,Gon.Jew.7.3,3,1,6,2.152,NA
44,3,Ambient,1,5,Parke,Goniastrea retiformis,Gon.Par.6,4,Gon.Par.6.4,3,1,6,2.55,NA
45,3,Ambient,1,7,Jewell,Goniastrea retiformis,Gon.Jew.6,3,Gon.Jew.6.3,3,1,6,3.006,NA
46,3,Ambient,1,10,Switzer,Goniastrea retiformis,Gon.Swi.12,3,Gon.Swi.12.3,3,1,6,4.414,NA
47,3,Ambient,2,1,Switzer,Goniastrea retiformis,Gon.Swi.7,5,Gon.Swi.7.5,3,1,6,3.156,NA
