Tank,Temperature,Stick,Position,Population,Species,Genotype,Frag.rep,Frag.id,Timepoint,Survival,Bleaching_D,TissueArea_cm2,PAM,Symbionts
1,Ambient,1,1,Davies,Tenuis,Ten.Dav.6,1,Ten.Dav.6.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,1,2,Davies,Tenuis,Ten.Dav.D1,1,Ten.Dav.D1.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,1,3,Parke,Goniastrea,Gon.Par.7,1,Gon.Par.7.1,4,1,6,3.095,NA,C1 symbiont
1,Ambient,1,4,Palms,Tenuis,Ten.Pal.6,1,Ten.Pal.6.1,4,0,NA,NA,NA,C1 symbiont
1,Ambient,1,5,Jewell,Tenuis,Ten.Jew.7,1,Ten.Jew.7.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,1,6,Davies,Hyacinthus,Hya.Dav.3,1,Hya.Dav.3.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,1,7,Jewell,Goniastrea,Gon.Jew.8,1,Gon.Jew.8.1,4,1,6,2.882,NA,C1 symbiont
1,Ambient,1,8,Davies,Tenuis,Ten.Dav.1,1,Ten.Dav.1.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,1,9,Davies,Tenuis,Ten.Dav.12,1,Ten.Dav.12.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,1,10,Parke,Goniastrea,Gon.Par.6,1,Gon.Par.6.1,4,1,6,3.938,NA,C1 symbiont
1,Ambient,1,11,Davies,Tenuis,Ten.Dav.12,13,Ten.Dav.12.13,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,2,1,Palms,Tenuis,Ten.Pal.1,1,Ten.Pal.1.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,2,2,Switzer,Goniastrea,Gon.Swi.7,1,Gon.Swi.7.1,4,1,NA,NA,NA,C1 symbiont
1,Ambient,2,3,Jewell,Hyacinthus,Hya.Jew.3,1,Hya.Jew.3.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,2,4,Parke,Tenuis,Ten.Par.5,1,Ten.Par.5.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,2,5,Davies,Hyacinthus,Hya.Dav.8,1,Hya.Dav.8.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,2,6,Davies,Tenuis,Ten.Dav.1,2,Ten.Dav.1.2,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,2,7,Davies,Tenuis,Ten.Dav.9,1,Ten.Dav.9.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,2,8,Switzer,Goniastrea,Gon.Swi.11,1,Gon.Swi.11.1,4,1,NA,NA,NA,C1 symbiont
1,Ambient,2,10,Switzer,Goniastrea,Gon.Swi.12,1,Gon.Swi.12.1,4,1,NA,NA,NA,C1 symbiont
1,Ambient,2,11,Parke,Goniastrea,Gon.Par.3,1,Gon.Par.3.1,4,1,NA,NA,NA,C1 symbiont
1,Ambient,3,1,Switzer,Hyacinthus,Hya.Swi.2,1,Hya.Swi.2.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,3,2,Parke,Tenuis,Ten.Par.5,2,Ten.Par.5.2,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,3,3,Switzer,Goniastrea,Gon.Swi.6,1,Gon.Swi.6.1,4,1,6,1.89,NA,C1 symbiont
1,Ambient,3,4,Switzer,Hyacinthus,Hya.Swi.2,2,Hya.Swi.2.2,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,3,5,Parke,Tenuis,Ten.Par.2,21,Ten.Par.2.21,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,3,6,Palms,Tenuis,Ten.Pal.1,2,Ten.Pal.1.2,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,3,7,Davies,Tenuis,Ten.Dav.13,1,Ten.Dav.13.1,4,NA,NA,NA,NA,C1 symbiont
1,Ambient,3,8,Parke,Goniastrea,Gon.Par.6,2,Gon.Par.6.2,4,1,6,2.125,NA,C1 symbiont
