,Tank,Temperature,Stick,Position,Population,Species,Genotype,Frag.rep,Frag.id,Timepoint,Survival,Bleaching_D,TissueArea_cm2,PAM,ImageID,FragID,Reef,UniqueCoralID,Temp
1,1,Ambient,1,1,Davies,Tenuis,Ten.Dav.6,1,Ten.Dav.6.1,3,1,6,3.847,NA,NA,NA,NA,NA,NA
2,1,Ambient,1,2,Davies,Tenuis,Ten.Dav.D1,1,Ten.Dav.D1.1,3,1,6,4.573,NA,NA,NA,NA,NA,NA
3,1,Ambient,1,4,Palms,Tenuis,Ten.Pal.6,1,Ten.Pal.6.1,3,0,NA,NA,NA,NA,NA,NA,NA,NA
4,1,Ambient,1,5,Jewell,Tenuis,Ten.Jew.7,1,Ten.Jew.7.1,3,1,5,2.747,NA,NA,NA,NA,NA,NA
5,1,Ambient,1,8,Davies,Tenuis,Ten.Dav.1,1,Ten.Dav.1.1,3,1,5,3.546,NA,NA,NA,NA,NA,NA
6,1,Ambient,1,9,Davies,Tenuis,Ten.Dav.12,1,Ten.Dav.12.1,3,1,6,2.08,NA,NA,NA,NA,NA,NA
7,1,Ambient,1,11,Davies,Tenuis,Ten.Dav.12,13,Ten.Dav.12.13,3,1,5,4.231,NA,NA,NA,NA,NA,NA
8,1,Ambient,2,1,Palms,Tenuis,Ten.Pal.1,1,Ten.Pal.1.1,3,1,6,4.489,NA,NA,NA,NA,NA,NA
9,1,Ambient,2,4,Parke,Tenuis,Ten.Par.5,1,Ten.Par.5.1,3,1,5,5.153,NA,NA,NA,NA,NA,NA
10,1,Ambient,2,6,Davies,Tenuis,Ten.Dav.1,2,Ten.Dav.1.2,3,1,5,2.512,NA,NA,NA,NA,NA,NA
11,1,Ambient,2,7,Davies,Tenuis,Ten.Dav.9,1,Ten.Dav.9.1,3,1,5,2.859,NA,NA,NA,NA,NA,NA
12,1,Ambient,3,2,Parke,Tenuis,Ten.Par.5,2,Ten.Par.5.2,3,1,3,3.404,NA,NA,NA,NA,NA,NA
13,1,Ambient,3,5,Parke,Tenuis,Ten.Par.2,21,Ten.Par.2.21,3,1,3,3.603,NA,NA,NA,NA,NA,NA
14,1,Ambient,3,6,Palms,Tenuis,Ten.Pal.1,2,Ten.Pal.1.2,3,1,6,2.5,NA,NA,NA,NA,NA,NA
15,1,Ambient,3,7,Davies,Tenuis,Ten.Dav.13,1,Ten.Dav.13.1,3,1,5,2.425,NA,NA,NA,NA,NA,NA
16,1,Ambient,3,9,Palms,Tenuis,Ten.Pal.6,2,Ten.Pal.6.2,3,0,NA,NA,NA,NA,NA,NA,NA,NA
17,1,Ambient,3,11,Davies,Tenuis,Ten.Dav.10,1,Ten.Dav.10.1,3,1,5,3.799,NA,NA,NA,NA,NA,NA
18,1,Ambient,4,1,Jewell,Tenuis,Ten.Jew.6,1,Ten.Jew.6.1,3,1,4,4.958,NA,NA,NA,NA,NA,NA
19,1,Ambient,4,4,Davies,Tenuis,Ten.Dav.9,2,Ten.Dav.9.2,3,1,5,5.194,NA,NA,NA,NA,NA,NA
20,1,Ambient,4,8,Jewell,Tenuis,Ten.Jew.6,2,Ten.Jew.6.2,3,1,4,2.885,NA,NA,NA,NA,NA,NA
21,1,Ambient,5,2,Parke,Tenuis,Ten.Par.2,1,Ten.Par.2.1,3,1,2,1.943,NA,NA,NA,NA,NA,NA
22,1,Ambient,5,10,Davies,Tenuis,Ten.Dav.10,2,Ten.Dav.10.2,3,1,5,5.316,NA,NA,NA,NA,NA,NA
23,1,Ambient,6,2,Davies,Tenuis,Ten.Dav.D1,2,Ten.Dav.D1.2,3,1,6,4.447,NA,NA,NA,NA,NA,NA
24,1,Ambient,6,3,Jewell,Tenuis,Ten.Jew.7,20,Ten.Jew.7.20,3,1,6,2.567,NA,NA,NA,NA,NA,NA
25,1,Ambient,6,6,Davies,Tenuis,Ten.Dav.8,1,Ten.Dav.8.1,3,0,NA,NA,NA,NA,NA,NA,NA,NA
26,1,Ambient,6,8,Palms,Tenuis,Ten.Pal.3,1,Ten.Pal.3.1,3,1,5,3.227,NA,NA,NA,NA,NA,NA
27,2,Ambient,1,2,Davies,Tenuis,Ten.Dav.10,3,Ten.Dav.10.3,3,1,5,2.968,NA,NA,NA,NA,NA,NA
28,2,Ambient,1,8,Davies,Tenuis,Ten.Dav.9,3,Ten.Dav.9.3,3,1,5,2.611,NA,NA,NA,NA,NA,NA
29,2,Ambient,1,11,Parke,Tenuis,Ten.Par.2,2,Ten.Par.2.2,3,1,2,2.754,NA,NA,NA,NA,NA,NA
30,2,Ambient,2,4,Davies,Tenuis,Ten.Dav.6,2,Ten.Dav.6.2,3,1,6,4.954,NA,NA,NA,NA,NA,NA
31,2,Ambient,2,5,Parke,Tenuis,Ten.Par.5,3,Ten.Par.5.3,3,1,4,4.424,NA,NA,NA,NA,NA,NA
32,2,Ambient,2,6,Davies,Tenuis,Ten.Dav.13,2,Ten.Dav.13.2,3,1,5,2.468,NA,NA,NA,NA,NA,NA
33,2,Ambient,2,8,Davies,Tenuis,Ten.Dav.1,3,Ten.Dav.1.3,3,1,5,2.649,NA,NA,NA,NA,NA,NA
34,2,Ambient,2,9,Davies,Tenuis,Ten.Dav.9,4,Ten.Dav.9.4,3,1,5,1.704,NA,NA,NA,NA,NA,NA
35,2,Ambient,2,10,Davies,Tenuis,Ten.Dav.12,16,Ten.Dav.12.16,3,1,4,2.468,NA,NA,NA,NA,NA,NA
36,2,Ambient,2,11,Jewell,Tenuis,Ten.Jew.5,2,Ten.Jew.5.2,3,1,4,5.255,NA,NA,NA,NA,NA,NA
37,2,Ambient,3,1,Jewell,Tenuis,Ten.Jew.5,3,Ten.Jew.5.3,3,1,4,4.135,NA,NA,NA,NA,NA,NA
38,2,Ambient,3,10,Palms,Tenuis,Ten.Pal.1,3,Ten.Pal.1.3,3,1,6,2.709,NA,NA,NA,NA,NA,NA
39,2,Ambient,4,1,Parke,Tenuis,Ten.Par.5,4,Ten.Par.5.4,3,1,4,6.403,NA,NA,NA,NA,NA,NA
40,2,Ambient,4,3,Palms,Tenuis,Ten.Pal.1,4,Ten.Pal.1.4,3,1,6,3.815,NA,NA,NA,NA,NA,NA
41,2,Ambient,4,5,Davies,Tenuis,Ten.Dav.10,4,Ten.Dav.10.4,3,1,4,2.43,NA,NA,NA,NA,NA,NA
42,2,Ambient,4,6,Palms,Tenuis,Ten.Pal.3,2,Ten.Pal.3.2,3,1,4,2.719,NA,NA,NA,NA,NA,NA
43,2,Ambient,4,8,Jewell,Tenuis,Ten.Jew.6,3,Ten.Jew.6.3,3,1,4,4.836,NA,NA,NA,NA,NA,NA
44,2,Ambient,4,9,Jewell,Tenuis,Ten.Jew.7,2,Ten.Jew.7.2,3,1,5,3.325,NA,NA,NA,NA,NA,NA
45,2,Ambient,4,11,Davies,Tenuis,Ten.Dav.8,2,Ten.Dav.8.2,3,0,NA,NA,NA,NA,NA,NA,NA,NA
46,2,Ambient,5,5,Davies,Tenuis,Ten.Dav.D1,3,Ten.Dav.D1.3,3,1,6,3.317,NA,NA,NA,NA,NA,NA
47,2,Ambient,5,7,Palms,Tenuis,Ten.Pal.6,3,Ten.Pal.6.3,3,0,NA,NA,NA,NA,NA,NA,NA,NA
48,2,Ambient,5,10,Davies,Tenuis,Ten.Dav.6,3,Ten.Dav.6.3,3,1,6,3.707,NA,NA,NA,NA,NA,NA
49,2,Ambient,6,2,Jewell,Tenuis,Ten.Jew.7,3,Ten.Jew.7.3,3,1,4,3.754,NA,NA,NA,NA,NA,NA
50,2,Ambient,6,3,Jewell,Tenuis,Ten.Jew.6,4,Ten.Jew.6.4,3,1,4,4.578,NA,NA,NA,NA,NA,NA
51,2,Ambient,6,5,Davies,Tenuis,Ten.Dav.1,4,Ten.Dav.1.4,3,1,5,2.835,NA,NA,NA,NA,NA,NA
52,2,Ambient,6,7,Palms,Tenuis,Ten.Pal.3,3,Ten.Pal.3.3,3,1,5,2.369,NA,NA,NA,NA,NA,NA
53,2,Ambient,6,9,Davies,Tenuis,Ten.Dav.12,2,Ten.Dav.12.2,3,1,5,2.851,NA,NA,NA,NA,NA,NA
54,3,Ambient,1,4,Palms,Tenuis,Ten.Pal.3,4,Ten.Pal.3.4,3,1,5,2.134,NA,NA,NA,NA,NA,NA
55,3,Ambient,1,8,Davies,Tenuis,Ten.Dav.9,5,Ten.Dav.9.5,3,1,6,4.163,NA,NA,NA,NA,NA,NA
56,3,Ambient,2,2,Parke,Tenuis,Ten.Par.2,3,Ten.Par.2.3,3,1,4,4.627,NA,NA,NA,NA,NA,NA
57,3,Ambient,2,3,Davies,Tenuis,Ten.Dav.6,4,Ten.Dav.6.4,3,1,3,2.669,NA,NA,NA,NA,NA,NA
58,3,Ambient,2,5,Jewell,Tenuis,Ten.Jew.5,4,Ten.Jew.5.4,3,1,5,3.352,NA,NA,NA,NA,NA,NA
59,3,Ambient,2,8,Jewell,Tenuis,Ten.Jew.6,5,Ten.Jew.6.5,3,1,4,NA,NA,NA,NA,NA,NA,NA
60,3,Ambient,3,2,Davies,Tenuis,Ten.Dav.13,3,Ten.Dav.13.3,3,1,6,5.281,NA,NA,NA,NA,NA,NA
