Tank,ImageID,Stick,Species,Position,FragID,Genotype,Reef,UniqueCoralID,Temp,T0,T1,T2,T3,T4,T5
AC1,_1111836,1,A. hyacinthus,1,AhyaMartin17,Martin17,Martin,AC1_1_1,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,2,AhyaPalms5,Palms5,Palms,AC1_1_2,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,3,AhyaArlington8,Arlington8,Arlington,AC1_1_3,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,4,AhyaMartin11,Martin11,Martin,AC1_1_4,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,5,AhyaArlington9,Arlington9,Arlington,AC1_1_5,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,6,AhyaArlington1,Arlington1,Arlington,AC1_1_6,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,7,AhyaWood17,Wood17,Wood,AC1_1_7,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,8,NA,NA,NA,AC1_1_8,Ambient,NA,NA,NA,NA,NA,NA
AC1,_1111836,1,A. hyacinthus,9,AhyaPalms3,Palms3,Palms,AC1_1_9,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,10,AhyaArlington6,Arlington6,Arlington,AC1_1_10,Ambient,1,1,1,1,1,1
AC1,_1111836,1,A. hyacinthus,11,AhyaDavies18,Davies18,Davies,AC1_1_11,Ambient,1,1,1,1,1,1
AC1,_1111838,2,P. lutea,1,PlutMartin36,Martin36,Martin,AC1_2_1,Ambient,1,1,1,1,1,1
AC1,_1111838,2,P. lutea,2,PlutPalms20,Palms20,Palms,AC1_2_2,Ambient,1,1,1,1,1,1
AC1,_1111838,2,P. lutea,3,PlutMartin14,Martin14,Martin,AC1_2_3,Ambient,1,1,1,1,1,1
AC1,_1111838,2,P. lutea,4,PlutPalms23,Palms23,Palms,AC1_2_4,Ambient,1,1,1,1,1,1
AC1,_1111838,2,P. lutea,5,PlutArlington16,Arlington16,Arlington,AC1_2_5,Ambient,1,1,1,1,1,1
AC1,_1111838,2,P. lutea,6,NA,NA,NA,AC1_2_6,Ambient,NA,NA,NA,NA,NA,NA
AC1,_1111838,2,P. lutea,7,PlutDavies1,Davies1,Davies,AC1_2_7,Ambient,1,1,1,1,1,1
AC1,_1111838,2,P. lutea,8,PlutArlington9,Arlington9,Arlington,AC1_2_8,Ambient,1,1,1,1,1,1
AC1,_1111838,2,P. lutea,9,PlutArlington12,Arlington12,Arlington,AC1_2_9,Ambient,1,1,1,1,1,1
AC1,_1111838,2,P. lutea,10,PlutWood6,Wood6,Wood,AC1_2_10,Ambient,NA,NA,NA,NA,NA,NA
AC1,_1111838,2,P. lutea,11,PlutMartin4,Martin4,Martin,AC1_2_11,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,1,AhyaDavies15,Davies15,Davies,AC1_3_1,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,2,NA,NA,NA,AC1_3_2,Ambient,NA,NA,NA,NA,NA,NA
AC1,_1111839,3,A. hyacinthus,3,AhyaDavies14,Davies14,Davies,AC1_3_3,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,4,AhyaArlington10,Arlington10,Arlington,AC1_3_4,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,5,AhyaDavies9,Davies9,Davies,AC1_3_5,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,6,AhyaWood16,Wood16,Wood,AC1_3_6,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,7,AhyaMartin3,Martin3,Martin,AC1_3_7,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,8,AhyaPalms6,Palms6,Palms,AC1_3_8,Ambient,1,1,1,1,1,1
AC1,_1111839,3,A. hyacinthus,9,NA,NA,NA,AC1_3_9,Ambient,NA,NA,NA,NA,NA,NA
