,Treatment,Temp,IndID,popcross,Tank,Cassette,Plate.Slide,T0,T6,Grey_change
1,SS,HOT,1.601.1403.2,SWIxSWI,1,601,1403,144.027,147.159,3.133
2,SS,HOT,1.601.1403.3,SWIxSWI,1,601,1403,138.678,133.408,-5.271
3,SS,HOT,1.601.1403.4,SWIxSWI,1,601,1403,141.121,139.491,-1.63
4,SS,HOT,1.601.1403.6,SWIxSWI,1,601,1403,138.626,142.492,3.866
5,SS,HOT,1.601.1403.8,SWIxSWI,1,601,1403,134.395,134.155,-0.24
6,SS,HOT,1.601.1403.9,SWIxSWI,1,601,1403,141.195,147.213,6.018
7,SS,HOT,1.601.1447.2,DAVxDAV,1,601,1447,154.522,159.741,5.219
8,SS,HOT,1.601.1447.3,DAVxDAV,1,601,1447,152.764,155.455,2.69
9,SS,HOT,1.601.1447.4,DAVxDAV,1,601,1447,153.923,161.191,7.268
10,SS,HOT,1.601.1447.5,DAVxDAV,1,601,1447,160.988,146.06,-14.928
11,SS,HOT,1.601.1447.6,DAVxDAV,1,601,1447,158.693,167.272,8.579
12,SS,HOT,1.601.1447.8,DAVxDAV,1,601,1447,156.83,167.159,10.329
13,SS,HOT,1.601.1556.1,SWIxDAV,1,601,1556,139.461,147.208,7.747
14,SS,HOT,1.601.1556.10,SWIxDAV,1,601,1556,149.721,164.489,14.768
15,SS,HOT,1.601.1556.11,SWIxDAV,1,601,1556,157.601,163.633,6.032
16,SS,HOT,1.601.1556.12,SWIxDAV,1,601,1556,153.586,156.265,2.679
17,SS,HOT,1.601.1556.2,SWIxDAV,1,601,1556,145.992,143.152,-2.84
18,SS,HOT,1.601.1556.3,SWIxDAV,1,601,1556,132.261,150.755,18.494
19,SS,HOT,1.601.1556.4,SWIxDAV,1,601,1556,143.217,143.067,-0.15
20,SS,HOT,1.601.1556.5,SWIxDAV,1,601,1556,147.217,145.227,-1.991
21,SS,HOT,1.601.1556.6,SWIxDAV,1,601,1556,150.446,150.883,0.436
22,SS,HOT,1.601.1556.7,SWIxDAV,1,601,1556,140.814,158.907,18.092
23,SS,HOT,1.601.1556.8,SWIxDAV,1,601,1556,144.656,159.379,14.722
24,SS,HOT,1.601.1556.9,SWIxDAV,1,601,1556,145.511,159.818,14.306
25,SS,HOT,1.601.1560.1,JEWxPAL,1,601,1560,100.491,100.184,-0.308
26,SS,HOT,1.601.1560.2,JEWxPAL,1,601,1560,101.747,108.351,6.604
27,SS,HOT,1.601.1560.3,JEWxPAL,1,601,1560,117.378,118.48,1.102
28,SS,HOT,1.601.1560.4,JEWxPAL,1,601,1560,115.872,134.866,18.995
29,SS,HOT,1.601.2797.1,SWIxSWI,1,601,2797,107.067,116.753,9.687
30,SS,HOT,1.601.2797.2,SWIxSWI,1,601,2797,127.145,132.338,5.192
31,SS,HOT,1.601.2797.3,SWIxSWI,1,601,2797,123.574,126.354,2.781
32,SS,HOT,1.601.2797.4,SWIxSWI,1,601,2797,118.575,121.289,2.715
33,SS,HOT,1.601.2797.5,SWIxSWI,1,601,2797,129.946,128.586,-1.361
34,SS,HOT,1.601.2797.6,SWIxSWI,1,601,2797,135.579,139.205,3.626
35,SS,HOT,1.613.1594.1,PALxPAL,1,613,1594,138.057,143.663,5.606
36,SS,HOT,1.613.1594.2,PALxPAL,1,613,1594,162.072,161.054,-1.018
37,SS,HOT,1.613.1594.3,PALxPAL,1,613,1594,152.695,166.831,14.136
38,SS,HOT,1.613.1594.4,PALxPAL,1,613,1594,147.458,160.349,12.891
39,SS,HOT,1.613.1688.1,JEWxDAV,1,613,1688,126.79,138.907,12.117
40,SS,HOT,1.613.1688.2,JEWxDAV,1,613,1688,126.171,131.3,5.129
41,SS,HOT,1.613.1942.3,PALxPAL,1,613,1942,147.608,146.673,-0.935
42,SS,HOT,1.613.1942.4,PALxPAL,1,613,1942,138.294,142.034,3.74
43,SS,HOT,1.613.2361.2,PARxDAV,1,613,2361,120.456,131.941,11.485
44,SS,HOT,1.613.2361.4,PARxDAV,1,613,2361,108.546,117.909,9.363
45,SS,HOT,1.613.2361.5,PARxDAV,1,613,2361,146.938,144.598,-2.34
46,SS,HOT,1.613.2707.1,JEWxDAV,1,613,2707,146.761,138.815,-7.946
47,SS,HOT,1.613.2707.10,JEWxDAV,1,613,2707,154.966,164.081,9.115
48,SS,HOT,1.613.2707.11,JEWxDAV,1,613,2707,162.793,167.244,4.451
49,SS,HOT,1.613.2707.2,JEWxDAV,1,613,2707,145.755,128.146,-17.609
50,SS,HOT,1.613.2707.3,JEWxDAV,1,613,2707,157.588,154.898,-2.69
51,SS,HOT,1.613.2707.5,JEWxDAV,1,613,2707,157.555,154.329,-3.226
52,SS,HOT,1.613.2707.6,JEWxDAV,1,613,2707,153.036,146.647,-6.39
53,SS,HOT,1.613.2707.7,JEWxDAV,1,613,2707,161.849,127.525,-34.324
54,SS,HOT,1.613.2707.8,JEWxDAV,1,613,2707,156.731,152.033,-4.698
55,SS,HOT,1.613.2707.9,JEWxDAV,1,613,2707,153.241,162.738,9.497
56,SS,HOT,1.619.1438.11,JEWxJEW,1,619,1438,139.017,138.264,-0.753
57,SS,HOT,1.619.1438.13,JEWxJEW,1,619,1438,172.904,155.407,-17.497
58,SS,HOT,1.619.1438.2,JEWxJEW,1,619,1438,152.454,157.27,4.816
59,SS,HOT,1.619.1438.3,JEWxJEW,1,619,1438,149.096,154.103,5.006
60,SS,HOT,1.619.1438.4,JEWxJEW,1,619,1438,139.792,140.114,0.323
61,SS,HOT,1.619.1438.5,JEWxJEW,1,619,1438,159.225,150.451,-8.774
62,SS,HOT,1.619.1438.6,JEWxJEW,1,619,1438,141.065,148.378,7.313
63,SS,HOT,1.619.1438.7,JEWxJEW,1,619,1438,146.097,149.657,3.56
64,SS,HOT,1.619.1438.9,JEWxJEW,1,619,1438,141.177,142.437,1.26
65,SS,HOT,1.619.1538.1,JEWxDAV,1,619,1538,148.867,162.657,13.79
66,SS,HOT,1.619.1538.2,JEWxDAV,1,619,1538,159.774,173.212,13.438
67,SS,HOT,1.619.1538.5,JEWxDAV,1,619,1538,160.569,169.108,8.54
68,SS,HOT,1.619.1538.7,JEWxDAV,1,619,1538,160.733,172.391,11.658
69,SS,HOT,1.619.1622.1,JEWxPAL,1,619,1622,122.498,135.431,12.933
70,SS,HOT,1.619.1622.2,JEWxPAL,1,619,1622,116.956,133.253,16.297
71,SS,HOT,1.619.1622.3,JEWxPAL,1,619,1622,127.488,133.414,5.926
72,SS,HOT,1.619.1622.4,JEWxPAL,1,619,1622,112.775,126.981,14.206
73,SS,HOT,1.619.1622.5,JEWxPAL,1,619,1622,114.041,127.908,13.868
74,SS,HOT,1.619.2975.3,DAVxDAV,1,619,2975,189.823,184.917,-4.906
75,SS,HOT,1.619.2975.4,DAVxDAV,1,619,2975,192.021,189.039,-2.982
76,SS,HOT,1.619.2975.8,DAVxDAV,1,619,2975,185.074,188.666,3.593
77,SS,HOT,1.619.3197.2,JEWxPAL,1,619,3197,155.259,160.534,5.275
78,SS,HOT,1.625.1934.4,JEWxPAL,1,625,1934,167.258,171.245,3.987
79,SS,HOT,1.625.1934.5,JEWxPAL,1,625,1934,169.049,169.33,0.281
80,SS,HOT,1.625.1934.6,JEWxPAL,1,625,1934,170.951,158.762,-12.189
81,SS,HOT,1.625.2804.3,PALxDAV,1,625,2804,156.609,175.074,18.465
82,SS,HOT,1.625.2911.10,SWIxDAV,1,625,2911,114.636,131.837,17.201
83,SS,HOT,1.625.2911.12,SWIxDAV,1,625,2911,113.494,119.728,6.234
84,SS,HOT,1.625.2911.3,SWIxDAV,1,625,2911,98.235,109.337,11.102
85,SS,HOT,1.625.2911.5,SWIxDAV,1,625,2911,112.871,116.958,4.086
86,SS,HOT,1.625.2911.6,SWIxDAV,1,625,2911,95.869,102.857,6.988
87,SS,HOT,1.625.2961.2,PARxPAR,1,625,2961,144.02,145.923,1.904
88,SS,HOT,1.625.2961.3,PARxPAR,1,625,2961,127.359,141.108,13.749
89,SS,HOT,1.625.2961.4,PARxPAR,1,625,2961,151.419,137.595,-13.824
90,SS,HOT,1.625.2961.5,PARxPAR,1,625,2961,148.334,149.845,1.512
91,SS,HOT,1.644.1290.1,JEWxPAL,1,644,1290,147.926,141.461,-6.464
92,SS,HOT,1.644.1290.2,JEWxPAL,1,644,1290,168.931,184.94,16.009
93,SS,HOT,1.644.1290.3,JEWxPAL,1,644,1290,153.288,152.753,-0.535
94,SS,HOT,1.644.1290.6,JEWxPAL,1,644,1290,156.773,147.959,-8.814
95,SS,HOT,1.644.1415.1,JEWxPAL,1,644,1415,129.954,121.011,-8.944
96,SS,HOT,1.644.1517.2,JEWxDAV,1,644,1517,117.076,109.148,-7.928
