Tank,Treatment,Cassette,Plate.Slide,Temp,Species,Cross,popcross,Family,Cone,MatchID,Crosstype,Timepoint,Survival,IndID,Mum,Dad,RegionCross
1,SS,601,1403,HOT,A.tenuis,Switzer7xSwitzer6,SwitzerxSwitzer,T.F10,C80,2,Individual Cross,0,1,1.601.1403.2,Switzer7,Switzer6,Northern x Northern
1,SS,601,1403,HOT,A.tenuis,Switzer7xSwitzer6,SwitzerxSwitzer,T.F10,C80,3,Individual Cross,0,1,1.601.1403.3,Switzer7,Switzer6,Northern x Northern
1,SS,601,1403,HOT,A.tenuis,Switzer7xSwitzer6,SwitzerxSwitzer,T.F10,C80,4,Individual Cross,0,1,1.601.1403.4,Switzer7,Switzer6,Northern x Northern
1,SS,601,1403,HOT,A.tenuis,Switzer7xSwitzer6,SwitzerxSwitzer,T.F10,C80,5,Individual Cross,0,1,1.601.1403.5,Switzer7,Switzer6,Northern x Northern
1,SS,601,1403,HOT,A.tenuis,Switzer7xSwitzer6,SwitzerxSwitzer,T.F10,C80,6,Individual Cross,0,1,1.601.1403.6,Switzer7,Switzer6,Northern x Northern
1,SS,601,1403,HOT,A.tenuis,Switzer7xSwitzer6,SwitzerxSwitzer,T.F10,C80,7,Individual Cross,0,1,1.601.1403.7,Switzer7,Switzer6,Northern x Northern
1,SS,601,1403,HOT,A.tenuis,Switzer7xSwitzer6,SwitzerxSwitzer,T.F10,C80,8,Individual Cross,0,1,1.601.1403.8,Switzer7,Switzer6,Northern x Northern
1,SS,601,1403,HOT,A.tenuis,Switzer7xSwitzer6,SwitzerxSwitzer,T.F10,C80,9,Individual Cross,0,1,1.601.1403.9,Switzer7,Switzer6,Northern x Northern
1,SS,601,1447,HOT,A.tenuis,Davies8xDavies6,DaviesxDavies,T.F14,C70,2,Individual Cross,0,1,1.601.1447.2,Davies8,Davies6,Central x Central
1,SS,601,1447,HOT,A.tenuis,Davies8xDavies6,DaviesxDavies,T.F14,C70,3,Individual Cross,0,1,1.601.1447.3,Davies8,Davies6,Central x Central
