Species,CrossType,Lifestage,Year,Timepoint,Temp2,Temp,Treatment,Cone,Mom,Dad,Cross,popcross2,Family,Tank,Tank.Name,Cassette,Plate.Slide,No. juveniles on slide,Well,Recruit,IndID,Clump/Single,Survival,microPAM ,Live Coral ID Number,Area (mm^2),Coral Red Mean,Coral Green Mean,Coral Blue Mean,Coral Hue Mean,Coral Saturation Mean,Coral Brightness Mean,F microPAM,Fm' microPAM,Y(II) microPAM,popcross
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C76,Davies8,Martin14,Davies8 x Martin14,DaviesxMartin,H.F45,1,SC1,294,1429,1,B,1,SC1.294.1429.1,S,1,X,1,0.5687,152.5403,151.4703,145.1546,36.5265,12.6167,152.9556,0.0294,0.0725,0.595,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C95,Martin15,Davies12,Martin15 x Davies12,MartinxDavies,H.F75,1,SC1,294,2712,1,D,1,SC1.294.2712.1,S,1,X,0,0.426,138.05,137.3,129.91,38.872,15.986,138.008,0.0113,0.0225,0,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C82,Davies10,Martin17,Davies10 x Martin17,DaviesxMartin,H.F39,1,SC1,294,2837,1,A,1,SC1.294.2837.1,C,1,X,1,1.8546,158.1341,156.7548,149.6956,35.7103,13.5705,158.4152,0.0275,0.0544,0.495,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,353,1244,2,C,1,SC1.353.1244.1,S,1,X,1,0.8452,138.6599,140.9246,139.8119,99.1779,5.6303,141.3712,0.0142,0.0328,0,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,353,1244,2,C,2,SC1.353.1244.2,S,1,,2,1.2307,146.1215,147.4306,144.4044,67.1518,6.4056,147.8565,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C42,Martin2,Davies12,Martin2 x Davies12,MartinxDavies,H.F76,1,SC1,353,1257,5,A,4,SC1.353.1257.4,S,1,,3,1.1563,150.7996,151.9881,148.1523,61.9289,7.4263,152.4272,,,,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C42,Martin2,Davies12,Martin2 x Davies12,MartinxDavies,H.F76,1,SC1,353,1257,5,A,5,SC1.353.1257.5,S,1,X,5,0.7804,140.2477,141.252,137.4783,59.9087,7.7307,141.7223,0.0441,0.1049,0.579,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C42,Martin2,Davies12,Martin2 x Davies12,MartinxDavies,H.F76,1,SC1,353,1257,5,C,2,SC1.353.1257.2,C,1,,2,1.717,139.2715,137.7021,125.5392,39.1605,26.5179,139.7673,,,,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C42,Martin2,Davies12,Martin2 x Davies12,MartinxDavies,H.F76,1,SC1,353,1257,5,D,1,SC1.353.1257.1,S,1,,1,1.2732,157.5321,156.1817,148.9422,44.1481,15.2391,158.2011,,,,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C42,Martin2,Davies12,Martin2 x Davies12,MartinxDavies,H.F76,1,SC1,353,1257,5,D,3,SC1.353.1257.3,S,1,,4,0.6977,127.437,127.9922,123.987,54.3833,9.2912,128.6689,,,,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C56,Martin11,Martin14,Martin11 x Martin14,MartinxMartin,H.F20,1,SC1,353,1669,1,B,1,SC1.353.1669.1,S,1,X,1,0.8499,163.5935,161.5938,152.1142,36.1641,18.0909,163.8604,0.026,0.049,0.47,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,384,1415,4,A,3,SC1.384.1415.3,S,1,,3,1.1449,159.1679,158.3002,151.4619,37.5944,12.5383,159.6103,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,384,1415,4,B,2,SC1.384.1415.2,S,1,,2,1.4037,159.9331,159.2583,152.4492,38.5554,12.2283,160.4446,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,384,1415,4,C,4,SC1.384.1415.4,S,1,X,4,1.2797,160.3895,159.8748,153.8445,38.9108,10.8733,160.9888,0.0186,0.0446,0,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,384,1415,4,D,1,SC1.384.1415.1,S,1,,1,1.0224,141.2901,141.8552,138.4944,59.3865,7.3397,142.5033,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,384,1691,2,A,1,SC1.384.1691.1,S,1,,0,0.882,140.601,140.809,136.863,59.509,9.059,141.694,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,384,1691,2,B,2,SC1.384.1691.2,S,1,X,1,0.7713,154.7005,154.202,147.8442,40.7656,11.8658,155.3238,0.0152,0.0299,0,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C6,Davies8,Davies13,Davies8 x Davies13,DaviesxDavies,H.F15,1,SC1,384,3196,3,A,3,SC1.384.3196.3,S,1,X,0,0.345,134.855,129.962,116.261,31.386,35.103,134.9,0.0426,0.0765,0.442,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C6,Davies8,Davies13,Davies8 x Davies13,DaviesxDavies,H.F15,1,SC1,384,3196,3,A,2,SC1.384.3196.2,S,1,,1,0.3486,156.056,154.3127,146.4903,35.1537,15.4963,156.2694,,,,DAVxDAV
