No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,ReefMom,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,Percent_Survival_atend,CrossType,Survival,Region_cross
1,1,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
2,2,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
3,3,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
4,4,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
5,5,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
6,6,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
7,7,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
8,8,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
9,9,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
10,10,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
11,11,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
12,12,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
13,13,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
14,14,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
15,15,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
16,16,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
17,17,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
18,18,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
19,19,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,1,NA
20,20,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,0,NA
21,21,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,0,NA
22,22,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,0,NA
23,23,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,0,NA
24,24,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCross,0,NA
25,1,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
26,2,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
27,3,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
28,4,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
29,5,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
30,6,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
