No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,Percent_Survival_atend,CrossType,Survival
1,1,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
2,2,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
3,3,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
4,4,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
5,5,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
6,6,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
7,7,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
8,8,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
9,9,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
10,10,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
11,11,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
12,12,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
13,13,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
14,14,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
15,15,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
16,16,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
17,17,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
18,18,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,JewellBulk,G.ret,129,A,24,19,5,79.16666667,BulkCrossGret,1
