SINGLE/CLUMP,Photos date,IPAM date,microPAM Date,Species,Crosstype,Lifestage,Year,Timepoint,Temp2,Temp,Treatment,Tank,Cassette,Plate.Slide,Well,Mom,Dad,Family,Genetic,Recruit,Survival T6,F microPAM,Fm' microPAM,YII_micro,F (IPAM),Fm' (IPAM),Y(II) (IPAM),IndID,Cone,popcross
C,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,SS,1,689,2325,D,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,8,1,0.1069,0.1863,0.426,0.1211,0.2407,0.497,1.689.2325.8,C3,PARxPAR
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,689,2943,B,Jewell8,Davies6,Jewell8xDavies6,T.F18,2,1,0.1549,0.2539,0.39,0.1588,0.3216,0.506,1.689.2943.2,C87,JEWxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,689,2813,B,Switzer6,Davies1,Switzer6xDavies1,T.F29,3,1,0.1882,0.2809,0.33,0.2603,0.4877,0.466,1.689.2813.3,C68,SWIxDAV
s,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,689,1910,D,Palms5,Palms4,Palms5xPalms4,T.F34,3,1,0.0475,0.0539,0.118,0.0623,0.1407,0.557,1.689.1910.3,C79,PALxPAL
s,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,SS,1,689,2968,D,Jewell(bottom),Davies6Bulk,Jewell(bottom)xDavies6bulk,Model1rep1,5,1,0.1436,0.2338,0.386,0.102,0.226,0.549,1.689.2968.5,C1,JEWxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,613,2361,B,Parke5,Davies6,Parke5xDavies6,T.F22,1,1,0.077,0.1348,0.429,0.0809,0.1681,0.519,1.613.2361.1,C78,PARxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,613,1688,C,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,0,0.1049,0.0461,0,0.1402,0.3069,0.543,1.613.1688.1,C71,JEWxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,613,1594,D,Palms2,Palms5,Palms2xPalms5,T.F35,3,1,0.0564,0.0696,0.19,0.1186,0.2319,0.488,1.613.1594.3,C86,PALxPAL
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,613,2707,B,Jewell8,Davies13,Jewell8xDavies13,T.F65,8,0,0.1799,0.0093,0,0.176,0.349,0.176,1.613.2707.8,C62,JEWxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,613,1942,A,Palms4,Palms2,Palms4xPalms2,T.F33,5,0,0.025,0.0368,0,0.0863,0.176,0.51,1.613.1942.5,C94,PALxPAL
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,625,2911,B,Switzer4,Davies8,Switzer4xDavies8,T.F31,3,1,0.101,0.2113,0.522,0.0887,0.1804,0.508,1.625.2911.3,C65,SWIxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,BulkCross,Juvenile,2021,T6,32C,HOT,SS,1,625,2823,C,Parke6Bulk,Davies6Bulk,Parke6bulkxDavies6bulk,Model3rep1,4,1,0.0456,0.1132,0.597,0.0936,0.2181,0.571,1.625.2823.4,C5,PARxDAV
C,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,625,2804,A,Palms4,Davies1,Palms4xDavies1,T.F36,1,1,0.2039,0.324,0.371,0.2167,0.3946,0.451,1.625.2804.1,C81,PALxDAV
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,625,1934,D,Jewell6,Palms1,Jewell6xPalms1,T.F38,3,1,0.0387,0.0779,0.503,0.0647,0.1515,0.573,1.625.1934.3,C31,JEWxPAL
S,19.04.21,12.04.21,14.04.21,A.ten,IndivCross,Juvenile,2021,T6,32C,HOT,SS,1,625,2961,A,Parke5,Parke4,Parke5xParke4,T.F6,1,0,0.0059,0.0064,0,0.0765,0.1569,0.512,1.625.2961.1,C83,PARxPAR
