No,Timepoint,Tank,Temp,Treatment,Cassette,Plate.Slide,Area,Red,Green,Blue,Hue,Saturation,Brightness,SINGLE.CLUMP,Clump.IndNo,Live.Coral.ID.Number,MatchID,SamplesID,Species,Crosstype,Mom,Dad,Family,Genetic,Cone,popcross,Grey_av,Grey_light,Grey_lum,IndID
2,T0,1,HOT,SS,601,1403,0.8976,173.8063,137.4432,98.1199,21.6362,110.9246,173.8063,S,NA,2,2,,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,136.4564667,135.9631,144.026567,1.601.1403.2
9,T6,1,HOT,SS,601,1403,0.777,168.0097,145.5579,98.8855,28.2062,105.3689,168.0097,S,NA,1,2,5,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,137.4843667,133.4476,147.159476,1.601.1403.2
8,T0,1,HOT,SS,601,1403,0.9715,161.0704,134.7672,98.5878,24.1664,99.089,161.0704,S,NA,3,3,,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,131.4751333,129.8291,138.678426,1.601.1403.3
11,T6,1,HOT,SS,601,1403,1.2649,154.5599,131.885,83.8887,28.5662,116.6707,154.5599,S,NA,2,3,1,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,123.4445333,119.2243,133.407877,1.601.1403.3
7,T0,1,HOT,SS,601,1403,1.5058,167.5734,135.5971,98.6043,22.4278,105.0918,167.5734,C,2,4,4,,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,133.9249333,133.08885,141.120782,1.601.1403.4
10,T6,1,HOT,SS,601,1403,1.6772,161.6548,137.5837,89.2765,27.9824,114.5401,161.6548,C,2,3,4,6,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,129.505,125.46565,139.491238,1.601.1403.4
1,T0,1,HOT,SS,601,1403,1.0874,159.9361,134.6848,99.9954,24.2692,95.8579,159.9361,C,2,5,5,,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,131.5387667,129.96575,138.444356,1.601.1403.5
4,T0,1,HOT,SS,601,1403,0.844,161.9718,134.0691,99.3959,23.1728,99.2082,161.9718,S,NA,6,6,,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,131.8122667,130.68385,138.625858,1.601.1403.6
12,T6,1,HOT,SS,601,1403,1.1234,161.5103,141.0833,98.1798,28.6035,100.2542,161.5103,S,NA,4,6,3,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,133.5911333,129.84505,142.492015,1.601.1403.6
6,T0,1,HOT,SS,601,1403,1.3081,168.4123,140.2596,106.3193,22.8885,94.4041,168.4123,C,2,7,7,,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,138.3304,137.3658,144.971977,1.601.1403.7
5,T0,1,HOT,SS,601,1403,0.9311,156.6663,130.7065,93.4428,24.5715,103.1226,156.6663,S,NA,8,8,,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,126.9385333,125.05455,134.395433,1.601.1403.8
14,T6,1,HOT,SS,601,1403,1.2163,155.9988,132.5903,82.9745,28.619,119.3277,155.9988,S,NA,5,8,2,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,123.8545333,119.48665,134.155112,1.601.1403.8
3,T0,1,HOT,SS,601,1403,0.8371,167.3359,135.8112,98.7798,22.7351,104.6791,167.3363,S,NA,9,9,,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,133.9756333,133.05785,141.195156,1.601.1403.9
13,T6,1,HOT,SS,601,1403,0.7482,168.8335,145.3508,98.2358,28.1285,107.7555,168.8335,S,NA,6,9,7,A.ten,IndivCross,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWIxSWI,137.4733667,133.53465,147.21296,1.601.1403.9
15,T0,1,HOT,SS,601,1447,2.3735,182.1667,148.5692,111.0542,22.0596,99.8108,182.1669,C,4,2,2,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,147.2633667,146.61045,154.5218,1.601.1447.2
24,T6,1,HOT,SS,601,1447,0.8886,181.7419,157.9627,109.2743,28.16,101.705,181.7419,C,3,1,2,1,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,149.6596333,145.5081,159.740736,1.601.1447.2
21,T0,1,HOT,SS,601,1447,1.2883,181.1096,146.2915,110.1769,21.379,101.0137,181.1096,C,2,3,3,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,145.8593333,145.64325,152.764324,1.601.1447.3
26,T6,1,HOT,SS,601,1447,1.3243,178.9443,152.4758,107.3692,26.4532,101.9364,178.9443,C,2,2,3,3,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,146.2631,143.15675,155.454624,1.601.1447.3
19,T0,1,HOT,SS,601,1447,3.1477,178.9671,149.1715,111.1031,23.5453,97.1829,178.9671,C,5,4,4,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,146.4139,145.0351,153.922656,1.601.1447.4
25,T6,1,HOT,SS,601,1447,2.3066,184.832,158.3378,112.0164,26.8609,100.7093,184.832,C,4,4,4,2,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,151.7287333,148.4242,161.190706,1.601.1447.4
18,T0,1,HOT,SS,601,1447,0.3856,184.8198,156.7796,118.5612,24.0728,91.4883,184.8198,S,NA,5,5,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,153.3868667,151.6905,160.987636,1.601.1447.5
22,T6,1,HOT,SS,601,1447,0.6607,166.1417,144.8104,97.9935,28.9106,104.6142,166.1417,S,NA,3,5,4,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,136.3152,132.0676,146.059931,1.601.1447.5
16,T0,1,HOT,SS,601,1447,0.4522,183.9562,153.3782,118.3002,22.3662,91.4833,183.9562,S,NA,6,6,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,151.8782,151.1282,158.69302,1.601.1447.6
23,T6,1,HOT,SS,601,1447,0.6629,186.8294,165.4112,123.9174,27.7561,85.5866,186.8294,S,NA,5,6,6,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,158.7193333,155.3734,167.272342,1.601.1447.6
17,T0,1,HOT,SS,601,1447,0.6488,182.7725,155.7736,115.3479,25.1892,94.0827,182.7725,S,NA,7,7,,A.ten,IndivCross,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAVxDAV,151.298,149.0602,159.426443,1.601.1447.7
