,X.1,Tank,Treatment,Cassette,Plate.Slide,Timepoint,Timepoint2,Area,Coral.Red.Mean,Coral.Green.Mean,Coral.Blue.Mean,Coral.Hue.Mean,Coral.Saturation.Mean,Coral.Brightness.Mean,X,SINGLE.CLUMP,Clump.IndNo,Live.Coral.ID.Number,MatchID,SamplesID,MPAM_Identifier,Species,CrossType,Lifestage,Temp,Mom,Dad,Cross,Family,Cone,Mom2,Dad2,popcross
1,1,1,SS,601,1403,0,T0,1.0874,159.9361,134.6848,99.9954,24.2692,95.8579,159.9361,NA,C,2,5,5,,1.601.1403.7*,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
2,2,1,SS,601,1403,0,T0,0.8976,173.8063,137.4432,98.1199,21.6362,110.9246,173.8063,NA,S,NA,2,2,,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
3,3,1,SS,601,1403,0,T0,0.8371,167.3359,135.8112,98.7798,22.7351,104.6791,167.3363,NA,S,NA,9,9,,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
4,4,1,SS,601,1403,0,T0,0.844,161.9718,134.0691,99.3959,23.1728,99.2082,161.9718,NA,S,NA,6,6,,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
5,5,1,SS,601,1403,0,T0,0.9311,156.6663,130.7065,93.4428,24.5715,103.1226,156.6663,NA,S,NA,8,8,,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
6,6,1,SS,601,1403,0,T0,1.3081,168.4123,140.2596,106.3193,22.8885,94.4041,168.4123,NA,C,2,7,7,,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
7,7,1,SS,601,1403,0,T0,1.5058,167.5734,135.5971,98.6043,22.4278,105.0918,167.5734,NA,C,2,4,4,,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
8,8,1,SS,601,1403,0,T0,0.9715,161.0704,134.7672,98.5878,24.1664,99.089,161.0704,NA,S,NA,3,3,,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
9,9,1,SS,601,1403,6,T6,0.777,168.0097,145.5579,98.8855,28.2062,105.3689,168.0097,1,S,NA,1,2,5,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
10,10,1,SS,601,1403,6,T6,1.6772,161.6548,137.5837,89.2765,27.9824,114.5401,161.6548,0,C,2,3,4,6,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
11,11,1,SS,601,1403,6,T6,1.2649,154.5599,131.885,83.8887,28.5662,116.6707,154.5599,0,S,NA,2,3,1,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
12,12,1,SS,601,1403,6,T6,1.1234,161.5103,141.0833,98.1798,28.6035,100.2542,161.5103,0,S,NA,4,6,3,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
13,13,1,SS,601,1403,6,T6,0.7482,168.8335,145.3508,98.2358,28.1285,107.7555,168.8335,0,S,NA,6,9,7,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
14,14,1,SS,601,1403,6,T6,1.2163,155.9988,132.5903,82.9745,28.619,119.3277,155.9988,0,S,NA,5,8,2,,A.ten,IndivCross,Juvenile,HOT,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,C80,SWI,SWI,SWIxSWI
15,15,1,SS,601,1447,0,T0,2.3735,182.1667,148.5692,111.0542,22.0596,99.8108,182.1669,NA,C,4,2,2,,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
16,16,1,SS,601,1447,0,T0,0.4522,183.9562,153.3782,118.3002,22.3662,91.4833,183.9562,NA,S,NA,6,6,,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
17,17,1,SS,601,1447,0,T0,0.6488,182.7725,155.7736,115.3479,25.1892,94.0827,182.7725,NA,S,NA,7,7,,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
18,18,1,SS,601,1447,0,T0,0.3856,184.8198,156.7796,118.5612,24.0728,91.4883,184.8198,NA,S,NA,5,5,,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
19,19,1,SS,601,1447,0,T0,3.1477,178.9671,149.1715,111.1031,23.5453,97.1829,178.9671,NA,C,5,4,4,,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
20,20,1,SS,601,1447,0,T0,1.4903,181.906,152.0959,113.836,23.6547,95.8811,181.906,NA,C,2,8,8,,1.601.1447.5,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
21,21,1,SS,601,1447,0,T0,1.2883,181.1096,146.2915,110.1769,21.379,101.0137,181.1096,NA,C,2,3,3,,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
22,22,1,SS,601,1447,6,T6,0.6607,166.1417,144.8104,97.9935,28.9106,104.6142,166.1417,0,S,NA,3,5,4,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
23,23,1,SS,601,1447,6,T6,0.6629,186.8294,165.4112,123.9174,27.7561,85.5866,186.8294,0,S,NA,5,6,6,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
24,24,1,SS,601,1447,6,T6,0.8886,181.7419,157.9627,109.2743,28.16,101.705,181.7419,1,C,3,1,2,1,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
25,25,1,SS,601,1447,6,T6,2.3066,184.832,158.3378,112.0164,26.8609,100.7093,184.832,0,C,4,4,4,2,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
26,26,1,SS,601,1447,6,T6,1.3243,178.9443,152.4758,107.3692,26.4532,101.9364,178.9443,0,C,2,2,3,3,,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
27,27,1,SS,601,1447,6,T6,1.3819,188.7639,164.7676,121.0638,27.4148,91.4625,188.7639,0,C,2,6,8,5,1.601.1447.5,A.ten,IndivCross,Juvenile,HOT,Davies8,Davies6,Davies8xDavies6,T.F14,C70,DAV,DAV,DAVxDAV
28,28,1,SS,601,1556,0,T0,0.8235,171.1049,141.3306,102.5042,23.6511,102.2742,171.1049,NA,C,2,2,2,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
29,29,1,SS,601,1556,0,T0,2.1935,174.9471,146.1274,106.7889,24.2359,99.8524,174.9471,NA,C,2,6,6,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
30,30,1,SS,601,1556,0,T0,2.2997,170.7124,133.9792,95.9341,21.3009,112.7083,170.7124,NA,C,3,7,7,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
31,31,1,SS,601,1556,0,T0,0.8804,176.238,144.3415,106.2552,23.0188,102.793,176.238,NA,S,NA,10,10,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
32,32,1,SS,601,1556,0,T0,0.678,167.0595,139.0802,100.3834,24.2379,102.0903,167.0595,NA,S,NA,4,4,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
33,33,1,SS,601,1556,0,T0,0.6031,183.8287,152.6233,112.7731,23.5564,98.3558,183.8287,NA,S,NA,11,11,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
34,34,1,SS,601,1556,0,T0,2.083,167.0277,133.796,94.6615,22.6437,111.014,167.0277,NA,C,3,1,1,,1.601.1556.4,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
35,35,1,SS,601,1556,0,T0,0.521,172.718,142.8901,100.8784,24.5632,106.5425,172.718,NA,S,NA,5,5,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
36,36,1,SS,601,1556,0,T0,3.7706,162.9164,125.1119,87.002,21.0898,120.199,162.9164,NA,C,8,3,3,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
37,37,1,SS,601,1556,0,T0,0.9959,173.5145,139.6565,100.5427,22.568,108.3818,173.5145,NA,S,NA,9,9,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
38,38,1,SS,601,1556,0,T0,0.7205,171.8696,139.2479,99.4483,23.1084,108.2709,171.8696,NA,S,NA,8,8,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
39,39,1,SS,601,1556,0,T0,0.704,177.14,149.61,110.67,24.654,96.27,177.139,NA,S,NA,12,12,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
40,40,1,SS,601,1556,6,T6,0.6715,184.6965,156.4263,110.1571,26.3946,102.9164,184.6965,0,S,NA,10,9,5,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
41,41,1,SS,601,1556,6,T6,1.5616,174.4466,143.3274,93.7369,25.8591,118.448,174.4466,1,C,3,1,1,4,1.601.1556.4,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
42,42,1,SS,601,1556,6,T6,0.4911,183.5169,156.8636,107.0389,27.4003,106.1224,183.5169,0,S,NA,9,8,7,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
43,43,1,SS,601,1556,6,T6,0.4886,167.1769,140.5954,91.3464,27.6455,116.182,167.1769,0,C,2,3,2,1,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
44,44,1,SS,601,1556,6,T6,0.6575,169.81,139.4841,89.351,26.3127,121.0728,169.81,0,S,NA,4,4,2,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
45,45,1,SS,601,1556,6,T6,1.9839,184.7706,155.0272,109.176,25.6307,104.5691,184.7706,0,C,3,7,7,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
46,46,1,SS,601,1556,6,T6,0.3503,173.5725,141.5509,87.6351,26.4687,126.7986,173.5725,0,S,NA,5,5,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
47,47,1,SS,601,1556,6,T6,2.9356,179.6064,145.6426,99.4938,24.3697,114.5665,179.6064,0,C,8,2,3,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
48,48,1,SS,601,1556,6,T6,0.5545,181.1838,153.4701,103.2948,27.2403,109.7208,181.1838,0,S,NA,8,12,,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
49,49,1,SS,601,1556,6,T6,1.0957,177.4081,147.422,97.1012,26.512,116.1196,177.4081,0,C,2,6,6,3,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
50,50,1,SS,601,1556,6,T6,0.7457,189.0314,161.0975,115.7494,26.1159,98.9773,189.0314,0,S,NA,11,10,8,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
51,51,1,SS,601,1556,6,T6,0.4141,188.6913,160.253,113.4217,26.4174,101.827,188.6913,0,S,NA,12,11,6,,A.ten,IndivCross,Juvenile,HOT,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWI,DAV,SWIxDAV
52,52,1,SS,601,1560,0,T0,0.9405,121.464,96.3143,65.6979,22.9927,117.2619,121.464,NA,S,NA,1,1,,,A.ten,IndivCross,Juvenile,HOT,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEW,PAL,JEWxPAL
53,53,1,SS,601,1560,0,T0,0.8955,142.2557,109.6088,77.5058,20.7531,116.4081,142.2557,NA,S,NA,4,4,,,A.ten,IndivCross,Juvenile,HOT,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEW,PAL,JEWxPAL
54,54,1,SS,601,1560,0,T0,2.4056,125.8457,96.1778,65.8949,21.0591,122.1353,125.8457,NA,C,3,2,2,,,A.ten,IndivCross,Juvenile,HOT,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEW,PAL,JEWxPAL
55,55,1,SS,601,1560,0,T0,0.893,137.5895,113.5839,82.6077,23.6133,102.0024,137.5895,NA,S,NA,3,3,,1.601.1560.1,A.ten,IndivCross,Juvenile,HOT,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEW,PAL,JEWxPAL
56,56,1,SS,601,1560,6,T6,2.1971,130.6286,104.5225,68.1319,24.3823,122.3127,130.6286,0,C,3,2,2,2,,A.ten,IndivCross,Juvenile,HOT,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEW,PAL,JEWxPAL
57,57,1,SS,601,1560,6,T6,0.5473,138.2934,115.9803,77.8539,26.5197,111.502,138.2934,0,S,NA,3,3,1,1.601.1560.1,A.ten,IndivCross,Juvenile,HOT,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEW,PAL,JEWxPAL
58,58,1,SS,601,1560,6,T6,0.7295,153.5479,132.501,96.6041,26.2907,94.2631,153.5479,0,S,NA,4,4,3,,A.ten,IndivCross,Juvenile,HOT,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEW,PAL,JEWxPAL
59,59,1,SS,601,1560,6,T6,0.5682,119.9404,97.3346,61.5824,25.9189,124.6255,119.9404,1,S,NA,1,1,4,,A.ten,IndivCross,Juvenile,HOT,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEW,PAL,JEWxPAL
60,60,1,SS,601,2797,0,T0,0.8602,142.0105,113.9301,79.5726,23.0862,113.3939,142.0105,NA,S,NA,4,4,,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
61,61,1,SS,601,2797,0,T0,0.6841,156.3768,126.15,87.4584,23.6679,112.7621,156.3768,NA,S,NA,7,7,,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
62,62,1,SS,601,2797,0,T0,1.6188,134.4731,100.9206,65.2856,21.5814,131.9918,134.4731,NA,C,2,1,1,,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
63,63,1,SS,601,2797,0,T0,1.0625,158.7374,131.347,95.1166,23.9807,103.3382,158.7374,NA,S,NA,6,6,,1.601.2797.5,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
64,64,1,SS,601,2797,0,T0,3.5369,152.4852,121.8137,86.6318,22.3376,110.5972,152.4852,NA,C,5,2,2,,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
65,65,1,SS,601,2797,0,T0,0.8101,146.3916,119.1453,85.0956,23.2467,107.6271,146.3916,NA,S,NA,3,3,,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
66,66,1,SS,601,2797,0,T0,1.0114,155.3781,124.7312,88.5578,22.7031,110.2513,155.3781,NA,S,NA,5,5,,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
67,67,1,SS,601,2797,6,T6,3.5081,155.5062,129.0905,86.567,25.8634,113.121,155.5062,0,C,5,2,2,2,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
68,68,1,SS,601,2797,6,T6,1.1122,151.3419,125.8673,81.1036,26.8045,118.0489,151.3419,0,S,NA,5,5,3,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
69,69,1,SS,601,2797,6,T6,1.5922,141.9109,113.2013,67.1929,26.0226,136.7623,141.9168,1,C,2,1,1,4,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
70,70,1,SS,601,2797,6,T6,0.6121,144.1159,118.1212,76.0288,26.0141,120.59,144.1159,0,S,NA,4,4,6,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
71,71,1,SS,601,2797,6,T6,0.5729,149.4727,123.3055,79.6574,26.2395,119.1559,149.4727,0,S,NA,3,3,1,,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
72,72,1,SS,601,2797,6,T6,1.0118,160.8552,136.7434,93.3594,26.9719,106.8637,160.8552,0,S,NA,6,6,5,1.601.2797.5,A.ten,IndivCross,Juvenile,HOT,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWI,SWI,SWIxSWI
73,73,1,SS,613,1594,0,T0,0.9754,177.392,141.0764,100.0502,22.2787,111.3005,177.392,NA,S,NA,4,4,,,A.ten,IndivCross,Juvenile,HOT,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PAL,PAL,PALxPAL
74,74,1,SS,613,1594,0,T0,4.1389,179.7656,146.9269,109.8057,22.173,99.4501,179.7656,NA,C,6,3,3,,1.613.1594.3,A.ten,IndivCross,Juvenile,HOT,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PAL,PAL,PALxPAL
75,75,1,SS,613,1594,0,T0,0.7479,167.9894,131.3929,92.1666,21.6837,115.5104,167.9894,NA,S,NA,1,1,,,A.ten,IndivCross,Juvenile,HOT,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PAL,PAL,PALxPAL
76,76,1,SS,613,1594,0,T0,1.6394,189.0404,156.559,118.0914,22.9613,95.8032,189.0424,NA,C,2,2,2,,,A.ten,IndivCross,Juvenile,HOT,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PAL,PAL,PALxPAL
77,77,1,SS,613,1594,6,T6,0.7601,167.0024,141.1326,93.5803,27.172,112.1919,167.0024,0,S,NA,2,1,2,,A.ten,IndivCross,Juvenile,HOT,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PAL,PAL,PALxPAL
78,78,1,SS,613,1594,6,T6,0.8055,181.9803,158.5512,111.0004,28.0849,99.1775,181.9803,0,S,NA,4,4,4,,A.ten,IndivCross,Juvenile,HOT,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PAL,PAL,PALxPAL
79,79,1,SS,613,1594,6,T6,1.7146,181.7274,159.8587,111.079,28.8912,99.95,181.7274,1,C,2,1,2,1,,A.ten,IndivCross,Juvenile,HOT,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PAL,PAL,PALxPAL
80,80,1,SS,613,1594,6,T6,4.1803,188.3331,164.4649,120.878,27.1367,91.0809,188.3331,0,C,6,3,3,3,1.613.1594.3,A.ten,IndivCross,Juvenile,HOT,PAL2,PAL5,PAL2xPAL5,T.F35,C86,PAL,PAL,PALxPAL
81,81,1,SS,613,1688,0,T0,0.463,154.9277,124.5389,84.1656,23.9347,116.3616,154.9277,NA,S,NA,3,3,,,A.ten,IndivCross,Juvenile,HOT,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEW,DAV,JEWxDAV
82,82,1,SS,613,1688,0,T0,0.8858,151.637,121.1142,83.8366,22.9841,114.076,151.637,NA,S,NA,2,2,,,A.ten,IndivCross,Juvenile,HOT,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEW,DAV,JEWxDAV
83,83,1,SS,613,1688,0,T0,3.0667,151.5252,121.815,86.0148,22.851,110.3393,151.5252,NA,C,6,1,1,,1.613.1688.1,A.ten,IndivCross,Juvenile,HOT,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEW,DAV,JEWxDAV
84,84,1,SS,613,1688,6,T6,0.552,153.7371,128.7515,83.7756,27.229,116.0509,153.7371,0,S,NA,2,2,2,,A.ten,IndivCross,Juvenile,HOT,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEW,DAV,JEWxDAV
85,85,1,SS,613,1688,6,T6,2.9777,161.3888,136.3937,91.0776,27.0603,111.5935,161.3888,1,C,5,1,1,1,1.613.1688.1,A.ten,IndivCross,Juvenile,HOT,Jewell8,Davies1,Jewell8xDavies1,T.F17,C71,JEW,DAV,JEWxDAV
86,86,1,SS,613,1942,0,T0,0.7608,169.5551,143.5007,109.7856,23.9319,89.8017,169.5551,NA,S,NA,3,3,,,A.ten,IndivCross,Juvenile,HOT,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PAL,PAL,PALxPAL
87,87,1,SS,613,1942,0,T0,0.7878,165.2564,137.5233,102.2911,23.4127,97.0411,165.2564,NA,S,NA,2,2,,,A.ten,IndivCross,Juvenile,HOT,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PAL,PAL,PALxPAL
88,88,1,SS,613,1942,0,T0,1.4496,169.9108,139.6565,103.1498,22.8381,99.9086,169.9108,NA,C,2,1,1,,,A.ten,IndivCross,Juvenile,HOT,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PAL,PAL,PALxPAL
89,89,1,SS,613,1942,0,T0,0.6982,162.6545,136.8453,101.6617,24.0557,95.4997,162.6545,NA,S,NA,5,5,,,A.ten,IndivCross,Juvenile,HOT,PAL4,PAL2,PAL4xPAL2,T.F33,C94,PAL,PAL,PALxPAL
