No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,CrossType,Percent_Survival_atend,Cumulative.hrs,BroadMom,BroadDad,crosstype,crosstype2,Survival
1,1,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
1,2,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
1,3,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
1,4,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
1,5,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
1,6,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
1,7,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
1,8,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
1,9,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
1,10,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,D,20,20,0,IndivCross,100,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
